time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
9.2,0.05,True,True,SORTING,AUTOMATIC,
9.25,0.05,True,True,SORTING,AUTOMATIC,
9.3,0.05,True,True,SORTING,AUTOMATIC,
9.35,0.05,True,True,SORTING,AUTOMATIC,
9.4,0.05,True,True,SORTING,AUTOMATIC,
9.45,0.05,True,True,SORTING,AUTOMATIC,
9.5,0.05,True,True,SORTING,AUTOMATIC,
9.55,0.05,True,True,SORTING,AUTOMATIC,
9.6,0.05,True,True,SORTING,AUTOMATIC,
9.65,0.05,True,True,SORTING,AUTOMATIC,
9.7,0.05,True,True,SORTING,AUTOMATIC,
9.75,0.05,True,True,SORTING,AUTOMATIC,
9.8,0.05,True,True,SORTING,AUTOMATIC,
9.85,0.05,True,True,SORTING,AUTOMATIC,
9.9,0.05,True,True,SORTING,AUTOMATIC,
9.95,0.05,True,True,SORTING,AUTOMATIC,
10.0,0.05,True,True,SORTING,AUTOMATIC,
10.05,0.05,True,True,SORTING,AUTOMATIC,
10.1,0.05,True,True,SORTING,AUTOMATIC,
10.15,0.05,True,True,SORTING,AUTOMATIC,
10.2,0.05,True,True,SORTING,AUTOMATIC,
10.25,0.05,True,True,SORTING,AUTOMATIC,
10.3,0.05,True,True,SORTING,AUTOMATIC,
10.35,0.05,True,True,SORTING,AUTOMATIC,
10.4,0.05,True,True,SORTING,AUTOMATIC,
10.45,0.05,True,True,SORTING,AUTOMATIC,
10.5,0.05,True,True,SORTING,AUTOMATIC,
10.55,0.05,True,True,SORTING,AUTOMATIC,
10.6,0.05,True,True,SORTING,AUTOMATIC,
10.65,0.05,True,True,SORTING,AUTOMATIC,
10.7,0.05,True,True,SORTING,AUTOMATIC,
10.75,0.05,True,True,SORTING,AUTOMATIC,
10.8,0.05,True,True,SORTING,AUTOMATIC,
10.85,0.05,True,True,SORTING,AUTOMATIC,
10.9,0.05,True,True,SORTING,AUTOMATIC,
10.95,0.05,True,True,SORTING,AUTOMATIC,
11.0,0.05,True,True,SORTING,AUTOMATIC,
11.05,0.05,True,True,SORTING,AUTOMATIC,
11.1,0.05,True,True,SORTING,AUTOMATIC,
11.15,0.05,True,True,SORTING,AUTOMATIC,
11.2,0.05,True,True,SORTING,AUTOMATIC,
11.25,0.05,True,True,SORTING,AUTOMATIC,
11.3,0.05,True,True,SORTING,AUTOMATIC,
11.35,0.05,True,True,SORTING,AUTOMATIC,
11.4,0.05,True,True,SORTING,AUTOMATIC,
11.45,0.05,True,True,SORTING,AUTOMATIC,
11.5,0.05,True,True,SORTING,AUTOMATIC,
11.55,0.05,True,True,SORTING,AUTOMATIC,
11.6,0.05,True,True,SORTING,AUTOMATIC,
11.65,0.05,True,True,SORTING,AUTOMATIC,
11.7,0.05,True,True,SORTING,AUTOMATIC,
11.75,0.05,True,True,SORTING,AUTOMATIC,
11.8,0.05,True,True,SORTING,AUTOMATIC,
11.85,0.05,True,True,SORTING,AUTOMATIC,
11.9,0.05,True,True,SORTING,AUTOMATIC,
11.95,0.05,True,True,SORTING,AUTOMATIC,
12.0,0.05,True,True,SORTING,AUTOMATIC,
12.05,0.05,True,True,SORTING,AUTOMATIC,
12.1,0.05,True,True,SORTING,AUTOMATIC,
12.15,0.05,True,True,SORTING,AUTOMATIC,
12.2,0.05,True,True,SORTING,AUTOMATIC,
12.25,0.05,True,True,SORTING,AUTOMATIC,
12.3,0.05,True,True,SORTING,AUTOMATIC,
12.35,0.05,True,True,SORTING,AUTOMATIC,
12.4,0.05,True,True,SORTING,AUTOMATIC,
12.45,0.05,True,True,SORTING,AUTOMATIC,
12.5,0.05,True,True,SORTING,AUTOMATIC,
12.55,0.05,True,True,SORTING,AUTOMATIC,
12.6,0.05,True,True,SORTING,AUTOMATIC,
12.65,0.05,True,True,SORTING,AUTOMATIC,
12.7,0.05,True,True,PRODUCT_EXIT,AUTOMATIC,
12.75,0.05,True,True,PRODUCT_EXIT,AUTOMATIC,
12.8,0.05,True,True,PRODUCT_EXIT,AUTOMATIC,
12.85,0.05,True,True,PRODUCT_EXIT,AUTOMATIC,
12.9,0.05,True,True,PRODUCT_EXIT,AUTOMATIC,
12.95,0.05,True,True,CONVEYING,AUTOMATIC,
13.0,0.05,True,True,CONVEYING,AUTOMATIC,
13.05,0.05,True,True,CONVEYING,AUTOMATIC,
13.1,0.05,True,True,CONVEYING,AUTOMATIC,
13.15,0.05,True,True,CONVEYING,AUTOMATIC,
13.2,0.05,True,True,CONVEYING,AUTOMATIC,
13.25,0.05,True,True,CONVEYING,AUTOMATIC,
13.3,0.05,True,True,CONVEYING,AUTOMATIC,
13.35,0.05,True,True,CONVEYING,AUTOMATIC,
13.4,0.05,True,True,CONVEYING,AUTOMATIC,
13.45,0.05,True,True,CONVEYING,AUTOMATIC,
13.5,0.05,True,True,CONVEYING,AUTOMATIC,
13.55,0.05,True,True,CONVEYING,AUTOMATIC,
13.6,0.05,True,True,CONVEYING,AUTOMATIC,
13.65,0.05,True,True,CONVEYING,AUTOMATIC,
13.7,0.05,True,True,CONVEYING,AUTOMATIC,
13.75,0.05,True,True,CONVEYING,AUTOMATIC,
13.8,0.05,True,True,CONVEYING,AUTOMATIC,
13.85,0.05,True,True,CONVEYING,AUTOMATIC,
13.9,0.05,True,True,CONVEYING,AUTOMATIC,
13.95,0.05,True,True,CONVEYING,AUTOMATIC,
14.0,0.05,True,True,CONVEYING,AUTOMATIC,
14.05,0.05,True,True,CONVEYING,AUTOMATIC,
14.1,0.05,True,True,CONVEYING,AUTOMATIC,
14.15,0.05,True,True,CONVEYING,AUTOMATIC,
14.2,0.05,True,True,CONVEYING,AUTOMATIC,
14.25,0.05,True,True,CONVEYING,AUTOMATIC,
14.3,0.05,True,True,CONVEYING,AUTOMATIC,
14.35,0.05,True,True,CONVEYING,AUTOMATIC,
14.4,0.05,True,True,CONVEYING,AUTOMATIC,
14.45,0.05,True,True,CONVEYING,AUTOMATIC,
14.5,0.05,True,True,CONVEYING,AUTOMATIC,
14.55,0.05,True,True,CONVEYING,AUTOMATIC,
14.6,0.05,True,True,CONVEYING,AUTOMATIC,
